,EinzelteilNr,Bezeichnung
127,9009,Shimano Alfine BL-S7000 Scheibenbremse I-Spec II Hinten
128,9010,Shimano Alfine BL-S7000 Scheibenbremse I-Spec II Vorne
129,9011,Shimano Deore SM-RT56 Bremsscheibe 6-loch
130,9012,Shimano GRX Di2 ST-RX815/BR-RX810 Scheibenbremse Vorderrad
131,9013,Shimano GRX Di2 ST-RX815/BR-RX810 Scheibenbremse Hinterrad
132,9014,Shimano Dura Ace SM-RT900 Ice-Tech Bremsscheibe Center-Lock
133,9015,Shimano BH90-JK-SSR
134,10001,SIGMA SPORT Aura 35 USB Frontlicht
135,10002,SIGMA SPORT Nugget II Rücklicht
136,10003,Supernova Airstream 2 Frontlicht
137,10004,Supernova Airstream Tail Light 2
138,10005,Busch + Müller Lumotec Lyt senso plus Frontscheinwerfer
139,10006,Busch + Müller Birne Dynamo Rücklicht
140,10007,Busch + Müller Lumotec IQ Cyo N plus LED-Scheinwerfer
141,10008,Busch + Müller Toplight Line plus Diodenrücklicht
142,10009,MonkeyLink MonkeyLight 70 Lux Recharge Vorne
143,10010,MonkeyLink MonkeyLight 70 Lux Recharge Hinten
144,10011,Dynamo RECHTS 6V/3W Überspannungsschutz Doppelanschluss Kunststoff
145,10012,AXA HR Traction Power Control Hochleistungsdynamo rechts schwarz
146,10013,Kein Dynamo
147,10014,Leuchtstreifen
148,10015,Reflektoren
149,11001,Red Cycling Products City/Trekking light Pedal
150,11002,Xpedo Detox Pedale
151,11003,NOW8 M36 Flat Pedals 6 Pins
152,11004,Moto Reflex Pedale
153,11005,Time ATAC XC6 X-Country Pedale
154,11006,Shimano Dura Ace PD-R9100 Pedale carbon
